"age","hours","listen_work","play_instrument","composer","bpm","foreign","fav_classical","fav_pop","fav_rock","fav_other","anxiety","depression","insomnia"
24,1.5,1,0,0,171,1,0,0,0,1,3,4,1
23,1,1,1,0,150,0,0,0,0,1,9,7,2
16,10,1,1,0,180,1,0,0,0,1,10,9,3
25,2,1,0,0,NA,1,0,0,0,1,9,9,7
16,15,1,1,1,85,0,0,0,0,1,8,10,9
20,0.5,0,0,0,150,1,0,0,0,1,8,9,6
17,3,1,0,0,104,0,0,0,0,1,5,6,9
29,2,1,0,0,NA,0,0,0,0,1,9,3,7
20,4,1,0,0,85,0,0,0,0,1,3,2,1
16,2,1,0,0,NA,0,0,0,0,1,7,7,4
21,1,1,0,0,147,0,0,0,1,0,7,9,1
16,24,1,0,0,120,1,0,0,1,0,5,1,9
43,1,1,0,0,134,0,0,1,0,0,3,3,0
32,2,1,1,0,NA,0,1,0,0,0,8,7,5
10,2,1,1,0,112,1,0,1,0,0,8,2,1
27,3,1,0,0,200,1,0,0,0,1,4,0,0
24,3,1,1,0,75,1,1,0,0,0,9,6,1
18,2,1,0,0,20,1,0,0,0,1,10,7,2
17,7,1,0,0,140,0,0,0,1,0,8,7,7
19,6,1,0,0,111,0,0,0,0,1,1,0,0
16,3,1,0,0,150,1,0,0,1,0,5,7,1
64,5,1,0,1,NA,0,0,0,1,0,7,6,9
33,4,1,1,1,114,1,0,0,0,1,8,8,2
32,3,1,1,0,93,1,0,0,1,0,2,2,8
15,2,1,1,0,145,0,0,1,0,0,6,0,0
27,3,1,0,0,100,1,0,0,0,1,2,0,1
20,2,1,0,0,114,0,0,0,1,0,6,2,6
23,2,1,0,0,109,1,0,1,0,0,6,1,0
19,3,0,1,0,NA,0,1,0,0,0,7,6,4
12,2,1,1,1,NA,0,1,0,0,0,0,0,3
16,3,1,1,1,72,0,1,0,0,0,9,7,10
17,0,0,0,0,89,1,0,0,0,1,10,0,0
14,1,1,1,0,140,0,0,1,0,0,6,6,3
32,2,1,0,0,84,0,0,0,0,1,4,3,1
20,2,1,1,0,132,1,0,1,0,0,6,2,2
54,6,1,0,0,NA,0,1,0,0,0,2,2,3
18,5,1,0,0,124,1,0,0,0,1,7,4,5
14,2,1,1,0,181,0,1,0,0,0,7,5,3
13,4,1,1,1,126,0,1,0,0,0,8,5,10
19,8,1,0,1,109,0,0,0,0,1,7,5,6
14,4,1,1,0,106,0,1,0,0,0,6,8,8
14,1.5,0,1,0,140,NA,1,0,0,0,1,2,4
18,2,1,1,0,170,1,0,0,0,1,3,2,0
15,5,1,0,0,87,1,0,0,0,1,6,7,7
24,6,1,1,0,NA,0,1,0,0,0,6,7,2
17,2,1,0,0,117,1,0,1,0,0,9,8,4
44,2,0,0,0,105,0,0,0,1,0,7,7,2
23,1,0,1,0,NA,0,0,0,1,0,1,0,1
21,1,0,0,0,160,0,0,0,0,1,4,3,4
57,2,0,0,0,NA,0,0,0,0,1,2,0,0
23,2,1,1,0,141,1,0,0,1,0,0,5,7
18,1,1,1,0,105,1,0,1,0,0,8,7,7
26,14,1,0,0,158,1,0,0,0,1,5,10,8
13,3,1,NA,1,80,0,1,0,0,0,8,7,9
15,3,1,1,1,118,0,1,0,0,0,9,6,8
57,2,1,1,1,125,0,0,0,1,0,2,2,7
12,0.5,1,1,1,109,1,1,0,0,0,7,8,6
26,6,1,0,0,156,1,0,0,0,1,10,10,8
17,1,1,1,0,105,0,0,0,0,1,8,5,2
17,2,1,1,0,NA,1,1,0,0,0,7,8,2
69,4,1,1,1,72,1,1,0,0,0,1,1,2
17,3,1,1,1,148,1,0,0,0,1,9,10,10
32,12,1,1,1,200,1,0,0,0,1,9,4,4
22,3,0,1,0,113,0,1,0,0,0,8,2,4
38,1,0,0,0,191,1,0,0,0,1,1,1,5
18,10,1,0,0,140,0,0,0,0,1,10,9,9
14,5,1,1,0,40,1,1,0,0,0,3,0,2
14,0.5,1,1,0,173,1,0,0,0,1,4,0,4
19,5,1,1,1,180,1,0,0,0,1,2,3,5
20,3,1,1,1,100,0,1,0,0,0,2,3,3
18,2,0,0,0,123,0,0,0,1,0,8,4,3
30,13,NA,0,0,145,1,0,0,0,1,10,10,10
31,4,1,1,0,55,1,1,0,0,0,8,8,9
72,6,1,1,1,77,0,0,0,1,0,0,1,0
73,3,1,0,0,4,1,0,0,0,1,5,4,0
16,4,1,0,0,150,1,0,1,0,0,7.5,5,7
19,3,0,1,0,73,1,0,0,0,1,3,3,0
16,2,1,1,0,155,0,1,0,0,0,7,5,3
12,2,1,1,1,NA,1,1,0,0,0,8,0,1
39,1,1,0,0,89,1,0,0,0,1,6,4,1
15,6,1,1,0,110,1,0,0,0,1,8,8,7
14,9,1,0,0,140,1,0,0,0,1,10,8,9
21,1,0,0,0,135,0,0,0,0,1,3,0,2
38,1,1,0,0,125,0,0,0,0,1,5,5,7
23,0.5,0,0,1,110,1,0,0,0,1,7,7,6
16,1,0,0,0,140,0,0,0,0,1,7,4,6
21,1.5,1,1,0,105,0,0,0,0,1,3,3,1
13,6,1,0,0,112,0,0,0,0,1,4,0,0
16,4,1,0,0,96,0,0,0,1,0,3,0,6
18,6,1,0,1,NA,0,0,0,1,0,5,1,6
21,4,1,0,0,155,1,0,0,0,1,10,6,8
17,1.5,1,0,0,174,1,1,0,0,0,7,5,1
24,2,1,0,0,93,1,0,0,1,0,7,7,0
14,2,1,0,0,78,0,0,1,0,0,6,0,0
25,4,1,0,0,NA,1,0,0,1,0,6,2,3
22,3,1,0,0,174,1,0,0,0,1,7,6,7
20,4,1,0,0,120,1,0,0,1,0,5,7,7
23,2,1,0,0,75,0,0,1,0,0,7,6,4
61,2,1,0,0,94,0,0,0,1,0,2,2,2
24,6,1,0,0,180,1,0,0,0,1,9,5,0
34,0,0,1,0,115,1,0,0,1,0,3,7,8
49,1,0,0,0,128,0,0,1,0,0,4,5,9
33,4,1,1,0,112,1,0,0,1,0,1,0,7
22,2,0,1,1,140,0,0,0,0,1,3,2,0
38,3,1,0,0,143,1,0,0,0,1,1,6,1
23,4,0,0,0,72,0,0,0,0,1,8,10,4
34,2,0,0,0,100,1,0,0,0,1,8,10,10
40,3,1,0,0,120,1,0,0,0,1,3,0,8
27,1,0,0,0,NA,0,0,0,0,1,3,4,1
54,10,1,0,0,NA,0,0,0,1,0,2,1,2
16,10,0,0,0,105,0,0,0,1,0,0,0,0
23,10,1,0,0,119,1,0,0,0,1,8,8,5
35,4,0,0,0,NA,0,0,0,0,1,1,1,1
22,4,1,0,0,137,1,0,0,0,1,8,7,6
41,3,0,0,0,178,1,0,0,0,1,6,5,4
63,2,1,0,0,133,0,0,0,1,0,5,4,6
28,1,0,1,0,72,0,0,0,1,0,3,1,0
22,6,1,1,0,NA,0,0,0,0,1,4,8,2
58,1,1,0,0,133,0,0,0,1,0,5,6,3
58,1,1,1,1,80,0,1,0,0,0,0,0,2
67,4,1,0,0,146,0,0,0,1,0,7,6,7
70,2,1,0,0,88,0,0,0,0,1,8,5,6
60,2,1,0,0,132,1,0,0,1,0,4,4,2
15,2,1,1,1,102,0,0,1,0,0,9,8,10
18,6,1,0,0,91,1,0,0,0,1,5,5,7
58,3,1,0,0,127,1,0,0,0,1,4,6,8
28,1,1,0,0,82,1,0,0,0,1,4,8,5
